Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,CORE,373600518144.0,0.587,0.07231,DEFENSIVO,-1,187.56,38.28,190.8,163.62,False,True,True,28.33,37631000576.0,12298999808.0,24.32,203.54,8.52,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,0,6,BAJA
ORCL,Oracle Corporation,Technology,Software - Infrastructure,CORE,398620000256.0,1.597,0.57572,AGRESIVO,1,138.6,38.73,150.64,216.52,False,True,False,24.88,27441000448.0,16188000256.0,415.26,246.46,77.82,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.55,3,0,6,BAJA
MA,Mastercard Incorporated,Financial Services,Credit Services,CORE,443371978752.0,0.831,2.09915,BALANCEADO,1,496.95,45.74,514.9,551.79,True,True,False,30.07,20544000000.0,14968000512.0,256.04,657.11,32.23,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,8,0,6,BAJA
V,Visa Inc.,Financial Services,Credit Services,CORE,586663854080.0,0.799,0.53954,DEFENSIVO,0,304.28,46.47,313.7,335.46,True,True,False,28.6,28987000832.0,20592001024.0,54.61,395.26,29.9,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,8,0,6,BAJA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,335496970240.0,1.085,1.45541,BALANCEADO,1,336.83,48.62,357.18,373.03,True,True,False,23.67,25010999296.0,14156000256.0,514.39,408.18,21.18,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,6,BAJA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1297178165248.0,1.915,0.049250003,ESPECULATIVO,0,345.67,35.14,394.24,397.34,False,True,False,323.07,10503000064.0,3793999872.0,17.76,416.15,20.39,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,6,BAJA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,400787603456.0,1.963,0.07082,ESPECULATIVO,0,245.82,70.42,209.37,199.42,True,False,True,94.55,6744999936.0,4268999936.0,6.36,289.35,17.71,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.55,3,0,6,BAJA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,1009346084864.0,0.661,0.21847,DEFENSIVO,0,126.61,54.19,125.4,110.02,True,False,True,46.55,44027998208.0,21892999168.0,64.44,136.02,7.44,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,4,0,6,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,582795788288.0,1.382,0.50458,AGRESIVO,1,1484.23,61.83,1392.72,1067.57,True,False,True,51.48,12266399744.0,9609400320.0,23.92,1502.07,1.2,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.55,3,0,6,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,103239483392.0,1.188,0.16364,BALANCEADO,1,284.96,45.62,294.63,328.41,False,True,False,38.51,5632000000.0,2319000064.0,63.94,373.3,31.0,1,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,5,0,6,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,2558759010304.0,1.383,0.22286,AGRESIVO,1,237.93,71.24,213.39,224.86,True,False,False,33.18,145730994176.0,77669998592.0,43.44,281.27,18.22,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,6.67,2,0,6,BAJA
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,CORE,214623387648.0,0.41,0.42848,DEFENSIVO,-1,157.02,51.5,160.17,148.29,True,True,True,26.17,18173999104.0,8240000000.0,258.08,170.16,8.37,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,4,0,5,BAJA
OKLO,Oklo Inc.,Utilities,Utilities - Independent Power Producers,GROWTH,8706209792.0,0.943,-0.12236,BALANCEADO,1,50.16,42.59,61.18,85.48,True,True,False,,-138772000.0,-105663000.0,0.1,91.03,81.48,2,2,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,5,0,5,BAJA
NVDA,NVIDIA Corporation,Technology,Semiconductors,CORE,4586863591424.0,2.335,1.01485,ESPECULATIVO,-1,188.72,61.43,182.08,180.74,True,False,True,38.59,133230002176.0,120066998272.0,7.25,268.22,42.13,2,4,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.55,3,0,5,BAJA
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,334217478144.0,0.361,0.43323,DEFENSIVO,-1,77.65,55.2,77.53,71.49,True,False,True,25.54,16078000128.0,13107000320.0,139.79,83.67,7.75,2,4,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,4,0,5,BAJA
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,CORE,633625903104.0,0.288,0.110810004,DEFENSIVO,-1,152.43,41.54,153.95,124.94,False,True,True,22.75,59385999360.0,28843999232.0,18.94,160.88,5.54,2,4,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,0,5,BAJA
