Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
AMAT,False,,,,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,CORE,S&P 500,306873040896.0,1.637,0.38863,AGRESIVO,0,394.02,62.48,358.29,259.26,True,False,True,39.74,14.13,8888999936.0,7839000064.0,33.11,0.81,421.88,7.07,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.41,6,6,0,BAJA
SLB,False,,,,SLB N.V.,Energy,Oil & Gas Equipment & Services,CORE,S&P 500,78832017408.0,0.695,0.13904001,DEFENSIVO,0,52.66,59.25,49.95,40.44,True,False,True,22.35,3.01,7733000192.0,3374000128.0,45.98,1.62,55.61,5.6,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.33,1,6,0,BAJA
ADI,False,,,,"Analog Devices, Inc.",Technology,Semiconductors,CORE,S&P 500,168845410304.0,1.053,0.07862,BALANCEADO,1,369.22,74.35,331.48,273.73,True,False,True,63.23,5.0,5459077120.0,2706852096.0,25.75,1.59,386.59,4.71,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.41,6,7,-1,BAJA
FDX,False,,,,FedEx Corporation,Industrials,Integrated Freight & Logistics,CORE,S&P 500,86434103296.0,1.286,0.15869,AGRESIVO,1,388.76,66.22,367.64,284.71,True,False,True,19.34,2.9,11559999488.0,4477000192.0,140.99,3.64,403.07,3.68,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.86,2,7,-1,BAJA
ASML,False,,,,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,S&P 500,564325122048.0,1.382,0.50458,AGRESIVO,1,1464.46,56.32,1399.02,1084.41,True,False,True,49.82,24.4,12266399744.0,9609400320.0,23.92,0.38,1511.58,3.22,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.41,6,7,-1,BAJA
ETN,False,,,,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,CORE,S&P 500,153470435328.0,1.164,0.21525998,BALANCEADO,1,406.07,66.07,371.62,359.79,True,False,True,37.81,7.89,6310000128.0,4087000064.0,54.88,1.69,410.2,1.02,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.86,2,6,0,BAJA
TGT,False,,,,Target Corporation,Consumer Defensive,Discount Stores,CORE,S&P 500,55721615360.0,1.032,0.24034001,BALANCEADO,1,126.2,63.4,117.75,102.18,True,False,True,15.13,3.45,8072000000.0,3704999936.0,125.52,2.51,124.72,-1.17,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.75,3,6,0,BAJA
TXN,False,,,,Texas Instruments Incorporated,Technology,Semiconductors,CORE,S&P 500,194647949312.0,0.994,0.30148,BALANCEADO,1,229.76,74.16,206.63,190.73,True,False,True,39.23,11.92,8044000256.0,4973000192.0,90.82,1.84,222.96,-2.96,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.41,6,6,0,BAJA
KLAC,False,,,,KLA Corporation,Technology,Semiconductor Equipment & Materials,CORE,S&P 500,224500891648.0,1.435,1.00726,AGRESIVO,1,1772.93,67.69,1516.26,1216.02,True,False,True,49.81,41.0,5742102016.0,4557986816.0,111.78,1.06,1688.03,-4.79,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.41,6,6,0,BAJA
INTU,False,,,,Intuit Inc.,Technology,Software - Application,CORE,S&P 500,108999958528.0,1.213,0.23457001,AGRESIVO,1,389.6,42.87,416.57,607.12,False,True,False,25.48,5.7,6106999808.0,4339999744.0,36.15,1.13,603.49,54.9,1,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.41,6,6,0,BAJA
