Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,Evolucion,PrioridadRadar
NFLX,"Netflix, Inc.",Communication Services,Entertainment,CORE,418483601408.0,1.669,0.42762002,AGRESIVO,0,98.65,64.72,88.73,106.89,True,False,False,38.99,13659992064.0,10981200896.0,63.78,113.9,15.45,1,4,5,SIN SETUP,SEGUIMIENTO,BAJA,4,7.25,1,NUEVO,BAJA
RKLB,Rocket Lab Corporation,Industrials,Aerospace & Defense,GROWTH,36866301952.0,2.205,-0.18837999,ESPECULATIVO,-1,64.74,45.99,71.31,58.36,True,True,True,,-185512992.0,-198208992.0,15.39,87.58,35.28,3,2,4,PULLBACK EN TENDENCIA,EVITAR,NULA,0,5.0,7,NUEVO,IGNORAR
HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets,GROWTH,61428047872.0,2.464,0.21993999,ESPECULATIVO,-1,68.23,40.96,78.45,107.58,True,True,False,33.28,,1883000064.0,136.04,111.59,63.55,2,3,4,PULLBACK,EVITAR,NULA,0,5.5,6,NUEVO,IGNORAR
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,576230981632.0,0.329,0.35029998,DEFENSIVO,-1,239.11,47.59,239.73,199.3,False,True,True,21.68,33835999232.0,26804000768.0,60.5,241.25,0.89,2,3,4,PULLBACK,EVITAR,NULA,0,3.67,8,NUEVO,IGNORAR
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,CORE,281352273920.0,0.408,0.12538,DEFENSIVO,-1,309.97,67.96,283.45,312.44,True,False,False,23.45,21624999936.0,12056000512.0,81.62,359.77,16.07,1,4,4,SIN SETUP,EVITAR,NULA,0,3.67,8,NUEVO,IGNORAR
SPY,State Street SPDR S&P 500 ETF Trust,,,ETF,601495961600.0,,,SIN DATO,0,655.41,45.8,675.18,663.17,True,True,True,25.98,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.6,10,NUEVO,IGNORAR
QQQ,Invesco QQQ Trust,,,ETF,229456412672.0,,,SIN DATO,0,583.72,46.1,601.79,595.53,True,True,True,31.42,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.6,10,NUEVO,IGNORAR
DIA,State Street SPDR Dow Jones Industrial Average ETF Trust,,,ETF,37704826880.0,,,SIN DATO,0,464.13,44.69,480.78,467.76,True,True,True,22.75,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.6,10,NUEVO,IGNORAR
IWM,iShares Russell 2000 ETF,,,ETF,70627860480.0,,,SIN DATO,0,251.3,50.24,256.51,243.27,True,True,True,18.19,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.6,10,NUEVO,IGNORAR
EEM,iShares MSCI Emerging Markets ETF,,,ETF,42716983296.0,,,SIN DATO,0,56.78,46.76,59.04,54.22,True,True,True,15.79,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.6,10,NUEVO,IGNORAR
XLK,State Street Technology Select Sector SPDR ETF,,,ETF,36977852416.0,,,SIN DATO,0,135.92,48.61,139.25,138.63,True,True,True,32.31,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.6,10,NUEVO,IGNORAR
IVV,iShares Core S&P 500 ETF,,,ETF,409160155136.0,,,SIN DATO,0,658.29,45.76,678.11,666.21,True,True,True,25.98,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.6,10,NUEVO,IGNORAR
TEM,"Tempus AI, Inc.",Healthcare,Health Information Services,GROWTH,8289736192.0,,-0.89481,SIN DATO,0,46.37,42.04,52.86,68.05,True,True,False,,-171512992.0,-245028000.0,270.11,75.43,62.67,2,1,3,PULLBACK,EVITAR,NULA,0,3.67,8,NUEVO,IGNORAR
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,CORE,401410228224.0,0.587,0.07231,DEFENSIVO,-1,200.77,55.41,189.5,162.97,False,False,True,30.33,37631000576.0,12298999808.0,24.32,203.54,1.38,1,3,3,SIN SETUP,EVITAR,NULA,0,3.0,9,NUEVO,IGNORAR
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,CORE,676182360064.0,0.288,0.110810004,DEFENSIVO,-1,162.28,55.66,152.83,124.28,False,False,True,24.22,59385999360.0,28843999232.0,18.94,160.29,-1.23,1,3,3,SIN SETUP,TOMA DE GANANCIA,NULA,0,3.0,9,NUEVO,IGNORAR
AI,"C3.ai, Inc.",Technology,Software - Infrastructure,GROWTH,1258221952.0,2.07,-0.55012,ESPECULATIVO,-1,8.66,46.04,9.73,16.07,True,True,False,,-453099008.0,-434502016.0,8.37,8.82,1.83,2,1,2,PULLBACK,EVITAR,NULA,0,6.18,4,NUEVO,IGNORAR
XLF,State Street Financial Select Sector SPDR ETF,,,ETF,43960221696.0,,,SIN DATO,0,49.76,48.68,51.13,52.69,True,True,False,16.78,,,,,,2,0,2,PULLBACK,EVITAR,NULA,0,2.6,10,NUEVO,IGNORAR
ARKK,ARK Innovation ETF,,,ETF,,,,SIN DATO,0,68.1,45.02,71.62,77.4,True,True,False,44.84,,,,,,2,0,2,PULLBACK,EVITAR,NULA,0,2.6,10,NUEVO,IGNORAR
XLE,State Street Energy Select Sector SPDR ETF,,,ETF,11177051136.0,,,SIN DATO,0,59.96,58.74,56.05,47.31,False,False,True,23.11,,,,,,1,0,1,SIN SETUP,EVITAR,NULA,0,2.6,10,NUEVO,IGNORAR
