Ticker,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,CORE,S&P 500,96029204480.0,0.782,0.12445,DEFENSIVO,0,64.6,41.95,70.73,92.58,True,True,False,33.31,3.95,5338999808.0,2897999872.0,48.92,2.24,98.72,52.82,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.61,5,0.0,6.0,BAJA
ABT,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,177556439040.0,0.782,0.12961,DEFENSIVO,0,102.26,40.37,108.5,122.99,True,True,False,27.47,3.4,12033000448.0,6499999744.0,26.79,1.17,131.44,28.54,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.61,5,0.0,6.0,BAJA
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,CORE,S&P 500,166780583936.0,1.679,0.16690001,AGRESIVO,0,469.48,49.99,480.37,503.87,True,True,False,59.82,9.36,3558000128.0,2856000000.0,0.95,0.05,599.24,27.64,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.61,5,0.0,6.0,BAJA
CI,The Cigna Group,Healthcare,Healthcare Plans,CORE,S&P 500,72009113600.0,0.272,0.1513,DEFENSIVO,-1,270.08,48.16,276.1,284.1,True,True,False,12.15,1.7,12046999552.0,5957000192.0,75.14,2.61,338.79,25.44,2,5,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.61,5,0.0,6.0,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,Dow Jones,230717259776.0,0.685,0.35158002,DEFENSIVO,0,246.01,50.62,252.21,275.68,True,True,False,22.05,7.06,16117999616.0,10570999808.0,197.33,4.01,307.48,24.99,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,CORE,S&P 500,51223089152.0,0.974,0.65992,BALANCEADO,1,121.43,55.17,122.09,134.56,True,True,False,20.16,15.48,4065999872.0,2672999936.0,279.59,2.29,151.0,24.35,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.61,5,0.0,6.0,BAJA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,Dow Jones,336876470272.0,1.085,1.45541,BALANCEADO,1,338.25,49.28,355.14,372.67,True,True,False,23.78,26.29,25010999296.0,14156000256.0,514.39,2.64,408.21,20.68,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.73,4,0.0,6.0,BAJA
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,CORE,S&P 500,73299574784.0,1.345,0.04318,AGRESIVO,1,78.62,58.03,77.56,68.69,True,False,True,24.03,1.16,17628999680.0,3180000000.0,208.3,7.46,94.46,20.15,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.73,4,0.0,6.0,BAJA
MU,"Micron Technology, Inc.",Technology,Semiconductors,CORE,S&P 500,508207693824.0,1.606,0.39823002,AGRESIVO,0,451.26,61.7,404.06,254.87,True,False,True,21.27,7.02,36802998272.0,24110999552.0,14.9,0.29,533.73,18.27,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,S&P 500,416455852032.0,1.963,0.07082,ESPECULATIVO,0,255.52,73.9,209.8,201.05,True,False,True,98.24,6.61,6744999936.0,4268999936.0,6.36,0.59,289.35,13.24,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.45,6,0.0,6.0,BAJA
