Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,174072332288.0,1.128,2.90084,BALANCEADO,1,221.51,58.62,220.73,219.12,True,False,True,89.32,31.9,-3238000128.0,1888999936.0,1032.89,,266.76,20.43,2,2,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,4.33,8,5,0,BAJA
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,CORE,379337211904.0,0.587,0.07231,DEFENSIVO,-1,190.44,42.34,191.21,163.86,False,True,True,28.68,2.02,37631000576.0,12298999808.0,24.32,1.24,207.96,9.2,2,4,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,6,5,0,BAJA
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,CORE,629755346944.0,0.288,0.110810004,DEFENSIVO,-1,151.49,40.39,154.17,125.15,False,True,True,22.61,2.44,59385999360.0,28843999232.0,18.94,0.85,162.71,7.41,2,4,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,6,5,0,BAJA
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,CORE,368903618560.0,1.519,0.43526,AGRESIVO,1,788.4,66.4,725.77,561.64,True,False,True,41.89,17.21,13960999936.0,8883999744.0,206.67,3.16,746.06,-5.37,2,2,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,4.33,8,5,0,BAJA
ORCL,Oracle Corporation,Technology,Software - Infrastructure,CORE,443989622784.0,1.597,0.57572,AGRESIVO,1,154.39,55.94,150.34,216.24,True,False,False,27.72,13.23,27441000448.0,16188000256.0,415.26,5.91,246.46,59.63,1,3,5,SIN SETUP,SEGUIMIENTO,BAJA,4,5.82,5,5,0,BAJA
NFLX,"Netflix, Inc.",Communication Services,Entertainment,CORE,438526541824.0,1.669,0.42762002,AGRESIVO,0,103.38,73.25,90.1,106.41,True,False,False,40.86,16.4,13659992064.0,10981200896.0,63.78,1.24,114.03,10.3,1,4,5,SIN SETUP,SEGUIMIENTO,BAJA,4,6.5,1,5,0,BAJA
HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets,GROWTH,63615795200.0,2.464,0.21993999,ESPECULATIVO,-1,70.66,45.78,75.78,107.39,True,True,False,34.47,6.97,,1883000064.0,136.04,,103.77,46.86,2,3,4,PULLBACK,EVITAR,NULA,0,5.0,7,4,0,IGNORAR
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,572836610048.0,0.329,0.35029998,DEFENSIVO,-1,237.7,44.8,240.87,201.06,False,True,True,21.53,7.02,33835999232.0,26804000768.0,60.5,1.46,241.92,1.77,2,3,4,PULLBACK,EVITAR,NULA,0,3.67,9,4,0,IGNORAR
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,CORE,282613940224.0,0.408,0.12538,DEFENSIVO,-1,311.36,67.15,283.56,312.52,True,False,False,23.52,3.0,21624999936.0,12056000512.0,81.62,3.84,360.96,15.93,1,4,4,SIN SETUP,EVITAR,NULA,0,3.67,9,4,0,IGNORAR
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,CORE,841703358464.0,1.043,0.16134001,BALANCEADO,1,312.08,67.41,299.52,303.25,True,False,False,15.59,2.46,,55680999424.0,,,333.78,6.95,1,2,4,SIN SETUP,EVITAR,NULA,0,5.0,7,4,0,IGNORAR
TEM,"Tempus AI, Inc.",Healthcare,Health Information Services,GROWTH,8213143552.0,,-0.89481,SIN DATO,0,45.78,44.01,51.23,67.61,True,True,False,,16.59,-171512992.0,-245028000.0,270.11,,72.73,58.88,2,1,3,PULLBACK,EVITAR,NULA,0,3.67,9,3,0,IGNORAR
RKLB,Rocket Lab Corporation,Industrials,Aerospace & Defense,GROWTH,40649170944.0,2.205,-0.18837999,ESPECULATIVO,-1,70.6,52.86,70.0,59.1,True,False,True,,22.29,-185512992.0,-198208992.0,15.39,,86.68,22.78,2,2,3,TENDENCIA FIRME,EVITAR,NULA,0,4.33,8,3,0,IGNORAR
AI,"C3.ai, Inc.",Technology,Software - Infrastructure,GROWTH,1231343104.0,2.07,-0.55012,ESPECULATIVO,-1,8.48,44.26,9.4,15.77,True,True,False,,1.7,-453099008.0,-434502016.0,8.37,,8.82,3.99,2,1,2,PULLBACK,EVITAR,NULA,0,5.82,5,2,0,IGNORAR
SPY,State Street SPDR S&P 500 ETF Trust,,,ETF,627551830016.0,,,SIN DATO,0,683.77,62.22,674.08,664.75,True,False,True,27.11,1.59,,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.6,10,2,0,IGNORAR
QQQ,Invesco QQQ Trust,,,ETF,241886232576.0,,,SIN DATO,0,615.34,62.51,600.36,597.07,True,False,True,32.51,1.72,,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.6,10,2,0,IGNORAR
DIA,State Street SPDR Dow Jones Industrial Average ETF Trust,,,ETF,39043710976.0,,,SIN DATO,0,480.58,58.89,479.94,468.84,True,False,True,23.56,1.34,,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.6,10,3,-1,IGNORAR
IWM,iShares Russell 2000 ETF,,,ETF,74412204032.0,,,SIN DATO,0,264.77,63.97,256.41,244.28,True,False,True,19.17,1.21,,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.6,10,2,0,IGNORAR
EEM,iShares MSCI Emerging Markets ETF,,,ETF,45971640320.0,,,SIN DATO,0,61.1,62.34,59.08,54.49,True,False,True,16.99,1.16,,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.6,10,2,0,IGNORAR
IVV,iShares Core S&P 500 ETF,,,ETF,426948853760.0,,,SIN DATO,0,686.91,62.52,677.01,667.79,True,False,True,27.11,1.59,,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.6,10,2,0,IGNORAR
XLF,State Street Financial Select Sector SPDR ETF,,,ETF,45475328000.0,,,SIN DATO,0,51.47,60.73,50.97,52.7,True,False,False,17.36,1.51,,,,,,,1,0,1,SIN SETUP,EVITAR,NULA,0,1.6,10,1,0,IGNORAR
XLE,State Street Energy Select Sector SPDR ETF,,,ETF,10573969408.0,,,SIN DATO,0,56.72,41.77,56.64,47.59,False,False,True,21.86,1.09,,,,,,,1,0,1,SIN SETUP,EVITAR,NULA,0,1.6,10,1,0,IGNORAR
XLK,State Street Technology Select Sector SPDR ETF,,,ETF,39459000320.0,,,SIN DATO,0,145.04,64.18,138.9,139.04,True,False,False,34.48,0.97,,,,,,,1,0,1,SIN SETUP,EVITAR,NULA,0,1.6,10,1,0,IGNORAR
ARKK,ARK Innovation ETF,,,ETF,,,,SIN DATO,0,71.83,54.98,70.92,77.43,True,False,False,47.3,,,,,,,,1,0,1,SIN SETUP,EVITAR,NULA,0,1.6,10,1,0,IGNORAR
